cuda,omp,basic,default
0.197,0.454,0.203,2.723
0.896,44.506,0.999,284.339
7.378,1122.412,8.564,6949.182
21.199,4499.545,23.25,29013.708
175.837,41666.29,204.585,-2.0
16263.363,-1.0,19057.49,-3.0
